Enteros,Flotantes,Texto,Fechas,Booleanos,Categoría,Tiempo Delta
3,5.5,a,2023-01-01 00:00:00,,media,?
nan,5.5,e,2023-03-01 00:00:00,,?,5 days 00:00:00
3,nan,c,,True,,?
4,1.1,?,,,,1 days 00:00:00
4,nan,d,2023-03-01 00:00:00,,alta,
4,2.2,a,2023-01-01 00:00:00,?,media,?
1,nan,b,?,False,?,1 days 00:00:00
2,3.3,,2023-03-01 00:00:00,?,alta,
5,1.1,a,2023-03-01 00:00:00,True,?,?
2,2.2,d,2023-01-01 00:00:00,,?,5 days 00:00:00
2,?,e,2023-05-01 00:00:00,?,baja,5 days 00:00:00
?,2.2,?,2023-05-01 00:00:00,False,,1 days 00:00:00
2,5.5,c,2023-03-01 00:00:00,,media,?
4,nan,b,?,True,media,5 days 00:00:00
3,5.5,d,2023-01-01 00:00:00,True,baja,3 days 00:00:00
2,5.5,?,2023-03-01 00:00:00,?,alta,
nan,5.5,e,2023-03-01 00:00:00,True,alta,3 days 00:00:00
nan,5.5,?,2023-05-01 00:00:00,,,3 days 00:00:00
?,4.4,123,2023-01-01 00:00:00,False,media,3 days 00:00:00
1,3.3,a,2023-03-01 00:00:00,True,media,
?,nan,?,,True,media,?
3,1.1,e,2023-03-01 00:00:00,?,media,
?,1.1,b,2023-03-01 00:00:00,?,media,
?,?,123,,False,alta,?
2,2.2,,2023-05-01 00:00:00,?,?,3 days 00:00:00
2,?,b,2023-03-01 00:00:00,?,?,1 days 00:00:00
?,1.1,?,2023-05-01 00:00:00,?,media,
4,1.1,,2023-01-01 00:00:00,,,1 days 00:00:00
4,4.4,,2023-03-01 00:00:00,True,media,?
3,5.5,a,2023-03-01 00:00:00,,alta,
3,nan,e,,?,media,5 days 00:00:00
nan,nan,123,2023-05-01 00:00:00,,baja,
1,nan,d,?,,baja,5 days 00:00:00
nan,4.4,d,?,,baja,5 days 00:00:00
4,4.4,e,,?,media,?
5,2.2,,,False,,5 days 00:00:00
5,?,?,2023-03-01 00:00:00,,,
?,?,e,?,True,,5 days 00:00:00
4,nan,c,2023-01-01 00:00:00,,alta,1 days 00:00:00
4,4.4,c,?,False,,1 days 00:00:00
?,nan,e,2023-03-01 00:00:00,False,alta,1 days 00:00:00
1,?,b,2023-03-01 00:00:00,False,?,5 days 00:00:00
3,4.4,,,,?,5 days 00:00:00
5,5.5,d,,?,?,5 days 00:00:00
nan,3.3,123,?,True,?,
4,4.4,e,,?,?,
nan,3.3,,,,baja,?
2,4.4,,2023-05-01 00:00:00,?,baja,
5,?,d,,?,baja,1 days 00:00:00
1,1.1,a,?,True,,?
5,5.5,?,?,?,baja,1 days 00:00:00
3,4.4,,2023-03-01 00:00:00,?,baja,1 days 00:00:00
3,2.2,d,?,?,alta,
4,?,b,?,True,baja,1 days 00:00:00
3,2.2,b,,False,alta,3 days 00:00:00
5,4.4,?,2023-05-01 00:00:00,,,3 days 00:00:00
3,?,?,2023-05-01 00:00:00,?,baja,5 days 00:00:00
3,2.2,a,?,False,media,?
2,4.4,,2023-05-01 00:00:00,,baja,?
1,1.1,,,,,1 days 00:00:00
4,5.5,c,,?,baja,3 days 00:00:00
4,2.2,?,2023-01-01 00:00:00,False,?,5 days 00:00:00
1,5.5,,2023-03-01 00:00:00,?,media,
3,2.2,e,2023-03-01 00:00:00,True,?,
3,2.2,e,2023-05-01 00:00:00,?,baja,5 days 00:00:00
1,4.4,b,,?,media,5 days 00:00:00
2,5.5,123,,False,alta,?
2,4.4,,2023-05-01 00:00:00,False,alta,1 days 00:00:00
nan,5.5,?,2023-05-01 00:00:00,?,,?
1,nan,123,?,?,media,5 days 00:00:00
4,4.4,d,2023-03-01 00:00:00,False,media,?
?,nan,e,2023-03-01 00:00:00,False,alta,5 days 00:00:00
5,2.2,,?,True,baja,5 days 00:00:00
?,2.2,d,2023-01-01 00:00:00,?,,5 days 00:00:00
nan,2.2,?,?,True,,5 days 00:00:00
1,?,123,?,True,?,3 days 00:00:00
3,5.5,a,,True,,5 days 00:00:00
4,4.4,a,2023-03-01 00:00:00,True,media,5 days 00:00:00
1,2.2,b,?,?,,?
1,nan,e,2023-01-01 00:00:00,False,baja,5 days 00:00:00
2,3.3,c,?,?,alta,1 days 00:00:00
2,2.2,d,?,True,alta,
4,5.5,d,2023-01-01 00:00:00,,,5 days 00:00:00
3,?,b,2023-03-01 00:00:00,,media,5 days 00:00:00
5,?,123,?,False,,?
nan,2.2,d,,True,?,
5,nan,e,,,,
1,?,c,2023-05-01 00:00:00,False,alta,1 days 00:00:00
3,4.4,d,2023-01-01 00:00:00,False,media,3 days 00:00:00
5,4.4,123,?,True,media,?
2,nan,d,2023-03-01 00:00:00,?,?,3 days 00:00:00
nan,4.4,,2023-05-01 00:00:00,False,alta,
5,4.4,c,2023-01-01 00:00:00,,,3 days 00:00:00
4,4.4,a,?,True,alta,3 days 00:00:00
nan,2.2,a,2023-05-01 00:00:00,?,baja,3 days 00:00:00
3,1.1,,2023-01-01 00:00:00,,?,1 days 00:00:00
5,1.1,c,,?,,3 days 00:00:00
?,nan,d,2023-05-01 00:00:00,False,?,1 days 00:00:00
2,4.4,123,2023-03-01 00:00:00,?,alta,
3,?,,2023-03-01 00:00:00,False,media,
nan,nan,,?,?,baja,1 days 00:00:00
2,?,e,2023-03-01 00:00:00,True,media,3 days 00:00:00
1,?,?,2023-01-01 00:00:00,,,3 days 00:00:00
3,5.5,a,2023-03-01 00:00:00,?,?,5 days 00:00:00
4,?,b,2023-01-01 00:00:00,,media,3 days 00:00:00
?,4.4,?,?,?,?,5 days 00:00:00
?,nan,b,2023-03-01 00:00:00,True,?,3 days 00:00:00
3,2.2,c,2023-05-01 00:00:00,?,media,3 days 00:00:00
4,2.2,,2023-05-01 00:00:00,True,baja,?
5,nan,d,2023-01-01 00:00:00,False,alta,1 days 00:00:00
?,4.4,?,?,,?,?
5,?,,?,True,media,?
3,4.4,e,2023-03-01 00:00:00,True,,5 days 00:00:00
nan,1.1,d,?,False,alta,3 days 00:00:00
2,3.3,b,2023-03-01 00:00:00,False,media,1 days 00:00:00
5,2.2,e,2023-03-01 00:00:00,?,?,1 days 00:00:00
?,4.4,e,2023-05-01 00:00:00,,alta,3 days 00:00:00
2,nan,,?,False,baja,1 days 00:00:00
5,2.2,123,2023-05-01 00:00:00,?,?,5 days 00:00:00
4,1.1,?,2023-03-01 00:00:00,True,,
1,nan,c,,False,media,?
2,2.2,c,2023-03-01 00:00:00,True,alta,5 days 00:00:00
5,2.2,c,?,,,3 days 00:00:00
5,1.1,a,?,False,media,1 days 00:00:00
nan,4.4,e,,True,alta,?
nan,4.4,e,2023-01-01 00:00:00,?,,5 days 00:00:00
4,5.5,d,2023-05-01 00:00:00,True,?,1 days 00:00:00
5,nan,e,?,?,alta,?
5,?,?,,?,baja,
nan,5.5,c,2023-05-01 00:00:00,?,?,5 days 00:00:00
5,5.5,e,?,,baja,
2,2.2,?,2023-03-01 00:00:00,True,?,?
4,1.1,c,,?,,?
5,5.5,a,2023-01-01 00:00:00,,?,?
2,nan,?,2023-05-01 00:00:00,False,media,
2,5.5,?,?,?,?,
4,1.1,a,2023-03-01 00:00:00,,alta,5 days 00:00:00
3,2.2,c,?,,baja,1 days 00:00:00
nan,nan,a,?,,,5 days 00:00:00
3,5.5,e,?,?,,
5,1.1,b,2023-01-01 00:00:00,True,?,5 days 00:00:00
3,3.3,b,2023-01-01 00:00:00,,media,1 days 00:00:00
1,?,c,2023-05-01 00:00:00,True,alta,3 days 00:00:00
5,3.3,c,?,False,,3 days 00:00:00
1,nan,?,2023-01-01 00:00:00,?,?,3 days 00:00:00
1,3.3,,2023-03-01 00:00:00,?,baja,1 days 00:00:00
4,5.5,123,2023-05-01 00:00:00,,,?
?,1.1,a,,,media,1 days 00:00:00
2,1.1,123,,True,media,3 days 00:00:00
5,3.3,e,,False,baja,?
3,?,d,2023-05-01 00:00:00,True,?,5 days 00:00:00
5,4.4,123,2023-01-01 00:00:00,?,alta,5 days 00:00:00
?,2.2,c,2023-01-01 00:00:00,True,baja,3 days 00:00:00
1,2.2,a,2023-03-01 00:00:00,,alta,
1,nan,b,2023-01-01 00:00:00,False,media,?
4,5.5,b,2023-01-01 00:00:00,,,
5,?,,,True,media,5 days 00:00:00
3,nan,e,2023-03-01 00:00:00,?,baja,5 days 00:00:00
2,3.3,d,2023-01-01 00:00:00,?,alta,1 days 00:00:00
1,nan,b,2023-01-01 00:00:00,False,baja,5 days 00:00:00
3,nan,?,,?,alta,?
nan,3.3,a,2023-05-01 00:00:00,False,alta,1 days 00:00:00
nan,?,123,2023-03-01 00:00:00,?,,?
3,2.2,123,,True,media,3 days 00:00:00
3,2.2,a,,,,5 days 00:00:00
2,2.2,?,2023-01-01 00:00:00,True,baja,5 days 00:00:00
5,nan,123,?,False,alta,?
2,5.5,?,2023-01-01 00:00:00,False,,1 days 00:00:00
nan,nan,?,,,?,?
4,2.2,d,2023-05-01 00:00:00,,,3 days 00:00:00
1,2.2,123,,?,,
1,?,c,,,,3 days 00:00:00
?,3.3,?,?,False,alta,5 days 00:00:00
2,3.3,a,2023-05-01 00:00:00,?,alta,3 days 00:00:00
nan,1.1,123,2023-05-01 00:00:00,True,media,?
1,1.1,a,2023-05-01 00:00:00,?,baja,3 days 00:00:00
?,3.3,a,,?,baja,?
2,2.2,,2023-05-01 00:00:00,?,alta,1 days 00:00:00
2,nan,?,2023-03-01 00:00:00,False,?,1 days 00:00:00
5,?,c,2023-05-01 00:00:00,True,media,1 days 00:00:00
4,?,e,2023-01-01 00:00:00,True,media,1 days 00:00:00
4,2.2,a,2023-01-01 00:00:00,,,5 days 00:00:00
nan,4.4,c,2023-01-01 00:00:00,,,?
1,1.1,,?,?,alta,5 days 00:00:00
nan,1.1,b,2023-03-01 00:00:00,False,baja,
2,nan,123,?,,?,?
3,nan,d,2023-01-01 00:00:00,?,?,?
3,2.2,e,?,True,,5 days 00:00:00
1,2.2,?,2023-03-01 00:00:00,?,media,1 days 00:00:00
?,2.2,e,2023-01-01 00:00:00,,baja,?
nan,3.3,?,?,False,alta,
5,?,,,,baja,3 days 00:00:00
1,?,,?,,?,?
?,nan,?,2023-03-01 00:00:00,True,alta,5 days 00:00:00
4,4.4,a,,False,baja,5 days 00:00:00
1,1.1,a,2023-05-01 00:00:00,?,baja,3 days 00:00:00
2,nan,e,,True,media,
1,4.4,a,2023-01-01 00:00:00,False,alta,1 days 00:00:00
5,2.2,,,,?,
2,5.5,e,2023-01-01 00:00:00,,baja,5 days 00:00:00
2,4.4,e,2023-01-01 00:00:00,,alta,3 days 00:00:00
?,4.4,c,2023-03-01 00:00:00,True,media,1 days 00:00:00
3,1.1,,2023-03-01 00:00:00,?,alta,?
2,3.3,b,2023-01-01 00:00:00,False,alta,?
5,5.5,a,2023-05-01 00:00:00,?,alta,5 days 00:00:00
3,nan,e,?,False,media,
4,nan,a,?,True,media,1 days 00:00:00
5,?,e,2023-01-01 00:00:00,True,alta,
4,2.2,d,2023-01-01 00:00:00,False,,1 days 00:00:00
3,1.1,c,?,?,,1 days 00:00:00
2,2.2,a,,True,,1 days 00:00:00
3,nan,d,2023-05-01 00:00:00,?,?,1 days 00:00:00
2,nan,,2023-01-01 00:00:00,True,,5 days 00:00:00
2,1.1,c,2023-03-01 00:00:00,,baja,
3,1.1,?,?,?,media,1 days 00:00:00
1,?,e,2023-03-01 00:00:00,,,3 days 00:00:00
2,3.3,b,,False,,3 days 00:00:00
1,1.1,b,,True,?,1 days 00:00:00
4,nan,d,?,?,?,?
nan,3.3,?,2023-05-01 00:00:00,?,baja,1 days 00:00:00
1,1.1,,2023-01-01 00:00:00,,media,
5,2.2,b,,?,baja,1 days 00:00:00
2,5.5,b,?,?,baja,3 days 00:00:00
2,4.4,c,,?,alta,?
1,?,123,2023-01-01 00:00:00,,alta,5 days 00:00:00
3,nan,123,2023-01-01 00:00:00,,baja,
?,1.1,a,?,False,baja,3 days 00:00:00
5,3.3,,?,,media,1 days 00:00:00
5,?,?,2023-01-01 00:00:00,False,,1 days 00:00:00
1,5.5,c,2023-01-01 00:00:00,False,?,
3,2.2,e,2023-01-01 00:00:00,True,,1 days 00:00:00
nan,2.2,e,2023-05-01 00:00:00,?,,
1,nan,123,,?,,5 days 00:00:00
3,3.3,e,2023-03-01 00:00:00,?,?,?
3,?,?,?,?,?,3 days 00:00:00
1,?,123,2023-03-01 00:00:00,?,,3 days 00:00:00
1,2.2,?,?,,?,?
2,2.2,e,2023-01-01 00:00:00,,?,
1,5.5,d,,True,,?
1,5.5,?,2023-05-01 00:00:00,True,media,
4,5.5,d,2023-05-01 00:00:00,,media,?
2,?,?,2023-05-01 00:00:00,,?,1 days 00:00:00
4,1.1,123,2023-01-01 00:00:00,,baja,?
nan,nan,123,?,,media,?
?,5.5,e,2023-01-01 00:00:00,True,alta,?
2,2.2,c,2023-03-01 00:00:00,,alta,1 days 00:00:00
1,2.2,?,,True,media,
2,3.3,d,?,?,media,
3,5.5,c,2023-01-01 00:00:00,,baja,
4,2.2,123,?,?,?,1 days 00:00:00
1,?,a,2023-03-01 00:00:00,?,?,1 days 00:00:00
?,1.1,c,2023-01-01 00:00:00,True,alta,5 days 00:00:00
